url,id,label_it,level
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/0,0,Assente,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/BI,BI,Internazionale breve,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/BN,BN,Internazionale breve (traffico nazionale),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/CI,CI,Internazionale costiera,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/CN,CN,Nazionale costiera,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/E,E,Estera (comandata all'estero),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/GI,GI,Grande cabotaggio,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/GN,GN,Gran cabotaggio (traffico nazionale),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/II,II,Illimitata (internazionale lunga),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/IN,IN,Internazionale lunga (traffico nazionale),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/LL,LL,Interna,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/LN,LN,Nazionale locale,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/ND,ND,Diporto,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/NM,NM,Mediterranea (pesca),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/NN,NN,Nazionale,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/NS,NS,Sportiva (categoria volo),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/ON,ON,Nazionale litorale,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/PI,PI,Piccolo cabotaggio,1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/PN,PN,Piccolo cabotaggio (traffico nazionale),1
https://w3id.org/italia/work-accident/controlled-vocabulary/proc21/specie_navigazione/SN,SN,Speciale,1
